Date,Transaction Type,Received Quantity,Received Currency,Sent Quantity,Sent Currency,Fee Currency,Fee Amount,Market Value,Source,Internal Transfer,External ID
2019-10-25T04:00:14.000Z,Income,0.013,STX,,,,,0.00024375,Binance,FALSE,6af9f507-bc0b-4426-89d6-a755dee6bb1f
2019-10-25T09:53:56.000Z,Income,0.0024,STRAT,,,,,0.000683755673406777,Binance,FALSE,5e3a5df7-5ebd-4909-8c68-d374e32eec7e
2019-10-26T02:41:13.000Z,Income,604.506,NPXS,,,,,0.17775997759035764,Binance,FALSE,6192fd38-9cd4-46aa-b7c3-fa69b8eab70a
2019-10-26T18:33:25.000Z,Income,1.6016,ERD,,,,,0.0023127103999999996,Binance,FALSE,8fd03fc1-18b3-4bc7-802c-a5975d0441e0
2019-10-29T13:30:18.000Z,Income,0.0057277,QTUM,,,,,0.013123170565067245,Binance,FALSE,9ac39ad3-628a-4a1e-9d32-57aaec64b6c1
2019-10-29T23:06:47.000Z,Income,0.01804,RLC,,,,,0.011797511156893729,Binance,FALSE,d7809d81-4945-4f7d-b599-ca60f6517c3e
2019-10-30T02:53:03.000Z,Income,0.0412993,INS,,,,,0.007983154689999999,Binance,FALSE,057ed28f-5acf-4cd0-84ca-a3dc43a53391
2019-10-30T09:11:49.000Z,Income,0.00000328,BCHABC,,,,,,Binance,FALSE,e763e022-3ef4-4fba-8f62-1b074133e4c1
2019-10-31T22:51:00.000Z,Income,0.000123,WIN,,,,,2.2533600000000003e-8,Binance,FALSE,21d09739-5594-4266-ad24-b53fcdb28afb
2019-11-02T10:46:01.000Z,Income,36.2891,DENT,,,,,0.009174767463260337,Binance,FALSE,3319d9c6-1606-4a6c-9866-14851f43813d
2019-11-02T12:49:22.000Z,Income,2.84499,ANKR,,,,,0.007317314280000001,Binance,FALSE,745a7b1c-96c4-4bee-99ab-e3e6095a5548
2019-11-03T19:09:10.000Z,Income,0.033456,AION,,,,,0.0027292460576544353,Binance,FALSE,51a9bbd3-80df-4680-87d6-826c4c39e1fe
2019-11-04T02:25:49.000Z,Income,1.28863,HOLO,,,,,0.001200656406699596,Binance,FALSE,e87a7ae4-f8ca-4d79-b6d0-086600d23222
2019-11-06T14:47:36.000Z,Income,2.198871,ARPA,,,,,0.05391631692,Binance,FALSE,46fcadce-0ed8-4e31-ae21-7eebe493886b
2019-11-08T23:15:12.000Z,Income,0.1681,BLZ,,,,,0.004269569925256547,Binance,FALSE,b7a4b2c2-aa20-4753-9c8c-7e3b272c4f86
2019-11-10T10:26:23.000Z,Income,0.0535009,BEAM,,,,,0.03598350947779291,Binance,FALSE,b1938f42-5c60-4d73-87d5-461eaaad5802
2019-11-14T18:45:31.000Z,Income,0.0013612,ZEN,,,,,0.007498088429915193,Binance,FALSE,0f4a1fe0-40a9-40ed-878d-ab0d604b42e2
2019-11-20T23:04:23.000Z,Income,117.06771,KEY,,,,,0.2081863719879188,Binance,FALSE,334ef614-4c05-4ffa-beaa-dbd50b6d31e1
2019-11-22T14:00:50.000Z,Income,0.24395,CTXC,,,,,0.03722587889535209,Binance,FALSE,f48afafc-140c-4ef9-b139-57270f473fdd
2019-11-26T13:03:44.000Z,Income,0.02747,PIVX,,,,,0.0072584574090924486,Binance,FALSE,c9d9ddea-02c0-4a68-be6c-5c38bc4812f0
2019-11-27T20:34:13.000Z,Income,0.02609932,USDS,,,,,0.026177617959999996,Binance,FALSE,855a2540-bbf2-4145-9dba-82c424168124
2019-11-28T07:35:02.000Z,Income,0.00505836,BCH,,,,,1.1190034981268937,Binance,FALSE,d3b6b858-16a7-4f50-8102-611713b5dd03
2019-11-28T20:10:53.000Z,Income,0.0171298,WAVES,,,,,0.010801145153621655,Binance,FALSE,d19d4909-029a-4c22-b65d-a4e6ffa266ce
2019-12-01T09:04:31.000Z,Income,72.2051,MFT,,,,,0.07770280554971644,Binance,FALSE,ee102ebe-c0ec-44d7-b1e9-8e27b483ff16
2019-12-05T03:00:21.000Z,Income,0.41205,TROY,,,,,0,Binance,FALSE,95af3806-b401-4e79-a714-92798cda77f4
2019-12-05T21:22:40.000Z,Income,0.9471,XVG,,,,,0.00414137388405966,Binance,FALSE,08145b1a-3972-4b24-b69d-b0c8d082e9c0
2019-12-05T23:25:18.000Z,Income,0.08405,FET,,,,,0.0043630355,Binance,FALSE,3f6824c2-b5c0-4129-be11-78db5f7975af
2019-12-06T12:27:14.000Z,Income,0.71135,MITH,,,,,0.00634553553297062,Binance,FALSE,c5b57d76-64f1-47f4-8ebb-e7339ee686e5
2019-12-09T03:18:03.000Z,Income,0.07667,BTS,,,,,0.0015646804717581082,Binance,FALSE,795b4ada-3048-4f84-8fc4-da3050db1ac9
2019-12-12T09:53:19.000Z,Income,0.205,OST,,,,,0.0022501891544483995,Binance,FALSE,a22cc781-66cc-4833-848d-73ce41b22f53
2020-01-01T21:05:19.000Z,Income,0.02665,PPT,,,,,0.010840023210690681,Binance,FALSE,7d67586a-e7a9-48ae-8fb0-0df4c6b2b95c
2020-01-02T06:41:34.000Z,Income,0.49815,POLY,,,,,0.00902628712295194,Binance,FALSE,b23562c6-5f31-4302-b577-eef166431356
2020-01-08T17:10:44.000Z,Income,0.05207,ARK,,,,,0.007211758446430877,Binance,FALSE,ded1584a-3b38-4399-a74d-98e0724e5170
